run,rope_length_m,quality_valid,segment,measured_velocity_blend,candidate,duration_s,positive_integral_j_kg,negative_integral_j_kg,net_integral_j_kg,net_mean_power_w_kg,power_rms_w_kg,positive_time_ratio,injection_bias,acceleration_rms_m_s2,power_band_energy_w2_s_kg2,power_band_rms_w_kg,power_band_fraction,acceleration_band_energy_m2_s3,acceleration_band_rms_m_s2,acceleration_band_fraction
L08_VALID,0.8,True,motion_cruise,0.5,velocity_candidate,16.759999999999998,0.018127744166898455,-0.06244057731395852,-0.04431283314706007,-0.0026439637915906967,0.008339414666452213,0.3652837386742966,-0.5500031815555297,0.056156791598692093,6.62617299786632e-05,0.001988357070852472,0.22429143794298578,0.004560293987951956,0.016495269423755666,0.23193786438849465
L08_VALID,0.8,True,motion_cruise,0.5,nominal_candidate,16.759999999999998,0.01667863571253661,-0.07449935691471968,-0.05782072120218307,-0.0034499236994142645,0.010916954432251984,0.35765379113018597,-0.6341521625570251,0.06231707003322936,2.4252935606843465e-05,0.0012029432780647877,0.12211827778514764,0.003687373563671609,0.014832746064962538,0.16336508897091873
L08_VALID,0.8,True,motion_cruise,0.75,velocity_candidate,16.759999999999998,0.01532754259224273,-0.08282544176779846,-0.06749789917555574,-0.0040273209531954506,0.010184548676873665,0.2966142107773009,-0.6876805592376326,0.06507538659163783,6.695896122467455e-05,0.0019987908221911492,0.16266213942414545,0.009266965908389173,0.023514284883434287,0.2922886849150202
L08_VALID,0.8,True,motion_cruise,0.75,nominal_candidate,16.759999999999998,0.015373393372507635,-0.09637918060318636,-0.08100578723067872,-0.004833280861019017,0.012735781726960875,0.30138292799237004,-0.7248673059494571,0.07016073975479228,2.9435540347528937e-05,0.0013252536197927562,0.1013251979930227,0.007887979154783654,0.02169431141244457,0.2474320306696482
L08_VALID,0.8,True,motion_cruise,1.0,velocity_candidate,16.759999999999998,0.014512325565785274,-0.10519529076983666,-0.09068296520405139,-0.005410678114800203,0.01219268422456756,0.25894134477825465,-0.7575371390722986,0.07573343958086888,7.118615373109661e-05,0.0020609182114218996,0.12314226521787802,0.01619681711510195,0.03108692977075278,0.326461460869852
L08_VALID,0.8,True,motion_cruise,1.0,nominal_candidate,16.759999999999998,0.01492050258881663,-0.11911135584799101,-0.10419085325917438,-0.00621663802262377,0.014696179789100075,0.2756318550309967,-0.7773588643352096,0.07988221843225678,3.814810634862509e-05,0.001508688170873846,0.08817763086455822,0.014311764032171263,0.029221975776253996,0.3041647422079268
L08_VALID,0.8,True,motion_deceleration,0.0,velocity_candidate,3.995999999999995,0.04213856460578237,-0.00613511949419139,0.03600344511159098,0.009009871149046804,0.0165582503952316,0.6978131212723658,0.7458192964313356,0.0894861171428485,0.0,0.0,0.0,0.0,0.0,0.0
L08_VALID,0.8,True,motion_deceleration,0.0,nominal_candidate,3.995999999999995,0.04777787819832763,-0.0030377325830856774,0.04474014561524195,0.011196232636446948,0.017987178632672872,0.7872763419483101,0.8804409693646039,0.10044262051166303,0.0,0.0,0.0,0.0,0.0,0.0
L08_VALID,0.8,True,motion_deceleration,0.25,velocity_candidate,3.995999999999995,0.03916143282233609,-0.010574777939545624,0.02858665488279047,0.007153817538235862,0.016453727462262355,0.6461232604373758,0.5747654363870346,0.09006849089634136,0.0,0.0,0.0,0.0,0.0,0.0
L08_VALID,0.8,True,motion_deceleration,0.25,nominal_candidate,3.995999999999995,0.04432440030136266,-0.007001044914921223,0.03732335538644144,0.009340179025636006,0.01745688038118738,0.6858846918489065,0.7271900950719852,0.0975584198198961,0.0,0.0,0.0,0.0,0.0,0.0
L08_VALID,0.8,True,motion_deceleration,0.5,velocity_candidate,3.995999999999995,0.03698641395591794,-0.015816549301927982,0.021169864653989956,0.00529776392742492,0.016993265660640085,0.6083499005964215,0.40092190566301894,0.09478284653079963,0.0,0.0,0.0,0.0,0.0,0.0
L08_VALID,0.8,True,motion_deceleration,0.5,nominal_candidate,3.995999999999995,0.04208710134247158,-0.012180536184830653,0.029906565157640928,0.007484125414825066,0.01753405798102511,0.6421471172962226,0.5510939211716159,0.09855687491675205,0.0,0.0,0.0,0.0,0.0,0.0
L08_VALID,0.8,True,motion_deceleration,0.75,velocity_candidate,3.995999999999995,0.03530032281503316,-0.021547248389843725,0.013753074425189436,0.0034417103166139774,0.01811942182806164,0.5825049701789264,0.24192897134732075,0.10306371812482787,0.0,0.0,0.0,0.0,0.0,0.0
L08_VALID,0.8,True,motion_deceleration,0.75,nominal_candidate,3.995999999999995,0.04035153884478645,-0.017861763915946037,0.02248977492884041,0.005628071804014124,0.018210989678770346,0.6123260437375746,0.3863339453746092,0.10332549037896502,0.0,0.0,0.0,0.0,0.0,0.0
