run,rope_length_m,quality_valid,action,component,duration_s,positive_integral_j_kg,negative_integral_j_kg,net_integral_j_kg,net_mean_power_w_kg,power_rms_w_kg,positive_time_ratio,injection_bias,acceleration_rms_m_s2,power_band_energy_w2_s_kg2,power_band_rms_w_kg,power_band_fraction,acceleration_band_energy_m2_s3,acceleration_band_rms_m_s2,acceleration_band_fraction
L08_VALID,0.8,True,action_05_hold,velocity_state_feedback,5.180000000000007,0.006024844682544433,-0.006354751417969994,-0.0003299067354255612,-6.368855896246346e-05,0.003556543630104584,0.5802469135802469,-0.02664923255548314,0.04367943003894736,1.0025621109518252e-06,0.0004399372785569082,0.03233998789208485,0.000781343690394141,0.012281634674144113,0.06594467371837173
L08_VALID,0.8,True,action_05_hold,velocity_tracking_actual,5.180000000000007,0.003945710412492253,-0.023157271626965015,-0.01921156121447276,-0.0037087956012495627,0.007888051467286961,0.3410493827160494,-0.7088356988357974,0.07590848326637101,4.3848850957020666e-05,0.002909472313372645,0.23960108980297148,0.003589159104628265,0.026322763115530706,0.14768594487127623
L08_VALID,0.8,True,action_05_hold,velocity_observer_estimation,5.180000000000007,0.019970633155852714,-0.0010889833874292655,0.01888164976842345,0.0036451061329002754,0.006509178218226508,0.7623456790123457,0.8965808911865825,0.058457446366142245,3.1624261164573766e-05,0.002470843929286243,0.2834060507021886,0.005117617933922549,0.031431785347015795,0.3996842792823037
L08_VALID,0.8,True,action_05_hold,z3_disturbance,5.180000000000007,0.005828726072292748,-0.00407260179324476,0.0017561242790479882,0.0003390201310903448,0.0029556732047340698,0.5509259259259259,0.17736250156510242,0.03087571898484,1.1105840360305617e-05,0.0014642351674309774,0.3679135673672634,0.0004554979451112988,0.009377311247777924,0.18805961618307604
L08_VALID,0.8,True,action_06_south,nominal_total,6.1839999999999975,0.03065447969749049,-0.008663690153065565,0.021990789544424925,0.0035560785162394785,0.011998638734264926,0.6912144702842378,0.5593034881330806,0.06958731491556143,1.535388766798997e-05,0.0015757032798090402,0.09907864679597124,0.0019692648348909156,0.017845031645058785,0.22951459578073957
L08_VALID,0.8,True,action_06_south,position_feedback,6.1839999999999975,0.009861756350575897,-0.009415675605919435,0.00044608074465646297,7.213466116695717e-05,0.005029514508480874,0.582687338501292,0.023140050275532714,0.03116979566525309,5.310151394341935e-05,0.002930344707927717,0.3978873477845165,5.229877899752245e-05,0.0029081113698710874,0.034756002863294715
L08_VALID,0.8,True,action_06_south,velocity_error_combined,6.1839999999999975,0.028731256108061723,-0.007186546590353837,0.021544709517707886,0.0034839439711688057,0.010037134646439638,0.6214470284237726,0.5998337286556309,0.06145931283937562,1.1361621328455876e-05,0.0013554559703381026,0.07919717987980651,0.001912932309626279,0.017587943458921253,0.21709026393054354
L08_VALID,0.8,True,action_06_south,velocity_reference,6.1839999999999975,0.20278064147219999,-0.1891760558315146,0.013604585640685396,0.0021999653364627105,0.08273509586074411,0.4509043927648579,0.034709409825809515,0.6137509481978883,0.022797616323364172,0.060716954506795186,0.5750640073100899,0.0002673135375234707,0.006574696899091311,0.00540459382446194
L08_VALID,0.8,True,action_06_south,velocity_state_feedback,6.1839999999999975,0.20197297911951323,-0.19403285724227315,0.00794012187724008,0.001283978311326016,0.08146900058980054,0.5439276485788114,0.0200505173110279,0.6193870022167206,0.02381434588306883,0.06205611569116118,0.5646959142087333,0.002780667268403606,0.02120507300205721,0.03642681229188978
L08_VALID,0.8,True,action_06_south,velocity_tracking_actual,6.1839999999999975,0.022060253444355096,-0.03382558223361842,-0.011765328789263327,-0.0019025434652754417,0.013309381664930408,0.35400516795865633,-0.2105243421080386,0.08521160729651192,5.904073402702874e-06,0.000977104770559041,0.013674078525909251,0.007004169480918538,0.033654534094090804,0.22191168303686604
L08_VALID,0.8,True,action_06_south,velocity_observer_estimation,6.1839999999999975,0.03627925767090367,-0.0029692208346552996,0.03331003683624837,0.005386487198617138,0.009094154122307343,0.7868217054263565,0.8486962579079466,0.06181704925469091,3.170437150455027e-06,0.0007160194731346298,0.013058696662605894,0.008236200226985742,0.03649460837339645,0.3631913727615111
L08_VALID,0.8,True,action_06_south,z3_disturbance,6.1839999999999975,0.012386750536825274,-0.010244640850327412,0.0021421096864978617,0.0003463954861736518,0.004658693054814515,0.4909560723514212,0.0946521426744397,0.03593846575292095,5.9650889045992424e-05,0.003105801675916887,0.5532770443105219,0.00023577928890391057,0.006174731623708341,0.27057335756476175
