run,rope_length_m,quality_valid,segment,component,duration_s,positive_integral_j_kg,negative_integral_j_kg,net_integral_j_kg,net_mean_power_w_kg,power_rms_w_kg,positive_time_ratio,injection_bias,acceleration_rms_m_s2,power_band_energy_w2_s_kg2,power_band_rms_w_kg,power_band_fraction,acceleration_band_energy_m2_s3,acceleration_band_rms_m_s2,acceleration_band_fraction,swing_energy_start_mean_j_kg,swing_energy_end_mean_j_kg,swing_energy_delta_sum_j_kg,swing_energy_peak_j_kg,swing_energy_rms_j_kg
L06_VALID,0.6,True,motion_cruise,velocity_tracking_actual,16.711999999999996,0.017146808339912178,-0.0910951899101195,-0.07394838157020732,-0.004424867255278084,0.010971595630095879,0.32326139088729017,-0.683176426578818,0.10121043677325933,8.81546372310566e-05,0.0022967216686208478,0.135646078034053,0.019413218767506173,0.03408274465146072,0.20719715460495464,0.025856731925159693,0.002931111230282113,-0.09170248277951032,0.0483073927462101,0.014580897188127731
L06_VALID,0.6,True,motion_cruise,velocity_observer_estimation,16.711999999999996,0.07786770217989761,-0.006835043004461952,0.07103265917543565,0.0042503984666967245,0.008335130232026299,0.7544364508393285,0.8386110629688528,0.06751179209635402,2.6654112415076182e-05,0.0012628969053450757,0.08102534903043161,0.01905456800070342,0.03376644503051821,0.3683169921378737,0.025856731925159693,0.002931111230282113,-0.09170248277951032,0.0483073927462101,0.014580897188127731
L06_VALID,0.6,True,motion_deceleration,nominal_total,3.984000000000009,0.047690024374634925,-0.005604012656145905,0.04208601171848902,0.010563757961468103,0.019056589863037945,0.6365461847389559,0.7896945711615272,0.12690292624593155,0.0,0.0,0.0,0.0,0.0,0.0,0.0030796893406659365,0.03261996852234006,0.11816111672669649,0.050978463143110275,0.024587851462742005
L06_VALID,0.6,True,motion_deceleration,position_feedback,3.984000000000009,0.007693045001233282,-0.0023110368178605118,0.00538200818337277,0.0013509056685172586,0.0033300913416590755,0.6847389558232931,0.5379812241339997,0.03148438282440543,0.0,0.0,0.0,0.0,0.0,0.0,0.0030796893406659365,0.03261996852234006,0.11816111672669649,0.050978463143110275,0.024587851462742005
L06_VALID,0.6,True,motion_deceleration,velocity_error_combined,3.984000000000009,0.04232932052294197,-0.005625318399397878,0.03670400212354409,0.009212851938640564,0.017198538078032174,0.6506024096385542,0.7653900216616039,0.10734706967142425,0.0,0.0,0.0,0.0,0.0,0.0,0.0030796893406659365,0.03261996852234006,0.11816111672669649,0.050978463143110275,0.024587851462742005
L06_VALID,0.6,True,motion_deceleration,velocity_reference,3.984000000000009,0.0614621904698287,-0.07139005739942517,-0.00992786692959647,-0.0024919344702802326,0.043671762234545,0.2891566265060241,-0.074728633416628,0.42171436286740194,0.0,0.0,0.0,0.0,0.0,0.0,0.0030796893406659365,0.03261996852234006,0.11816111672669649,0.050978463143110275,0.024587851462742005
L06_VALID,0.6,True,motion_deceleration,velocity_state_feedback,3.984000000000009,0.11341578184944229,-0.06678391190373817,0.04663186994570412,0.011704786632957835,0.05461559268583239,0.6224899598393574,0.25877885236351067,0.46816340367076026,0.0,0.0,0.0,0.0,0.0,0.0,0.0030796893406659365,0.03261996852234006,0.11816111672669649,0.050978463143110275,0.024587851462742005
L06_VALID,0.6,True,motion_deceleration,acceleration_damping,3.984000000000009,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.0,0.0,nan,0.0030796893406659365,0.03261996852234006,0.11816111672669649,0.050978463143110275,0.024587851462742005
L06_VALID,0.6,True,motion_deceleration,z3_disturbance,3.984000000000009,0.003953897331142807,-0.006563114696380582,-0.0026092173652377745,-0.0006549240374592793,0.0036863134213448246,0.3795180722891566,-0.24809493023392587,0.03106100633466948,0.0,0.0,0.0,0.0,0.0,0.0,0.0030796893406659365,0.03261996852234006,0.11816111672669649,0.050978463143110275,0.024587851462742005
L06_VALID,0.6,True,motion_deceleration,velocity_tracking_actual,3.984000000000009,0.052679465311376336,-0.012919069429417415,0.03976039588195892,0.009980019046676414,0.022198364716986035,0.6305220883534136,0.606117134156552,0.14851694942574578,0.0,0.0,0.0,0.0,0.0,0.0,0.0030796893406659365,0.03261996852234006,0.11816111672669649,0.050978463143110275,0.024587851462742005
L06_VALID,0.6,True,motion_deceleration,velocity_observer_estimation,3.984000000000009,0.00922530307032115,-0.012273942521198277,-0.003048639450877126,-0.0007652207457020882,0.0075812352016403515,0.5140562248995983,-0.14180215942459345,0.0659644259084241,0.0,0.0,0.0,0.0,0.0,0.0,0.0030796893406659365,0.03261996852234006,0.11816111672669649,0.050978463143110275,0.024587851462742005
L06_VALID,0.6,True,hover,nominal_total,20.724000000000004,0.015802119188353572,-0.03151086385757029,-0.01570874466921672,-0.0007579977161366878,0.004400955930187567,0.4563706563706564,-0.33201763359476166,0.05263075564545644,2.5931203130519322e-05,0.00111859929633511,0.12277714701953107,0.0029877951974260717,0.012007113629757779,0.054901360209949256,0.029941571592644323,0.0014070640609133989,-0.1141380301269237,0.056458182632923126,0.00983167790398647
L06_VALID,0.6,True,hover,position_feedback,20.724000000000004,0.012400033348897142,-0.022017699302775334,-0.009617665953878193,-0.00046408347586750584,0.003380875084598441,0.527027027027027,-0.27943926612524367,0.03204526077851199,1.825955265248667e-05,0.0009386599213807406,0.24200758038063513,0.00027451073423087087,0.003639509638766881,0.027226956531709614,0.029941571592644323,0.0014070640609133989,-0.1141380301269237,0.056458182632923126,0.00983167790398647
L06_VALID,0.6,True,hover,velocity_error_combined,20.724000000000004,0.019039017912840444,-0.025130096557568347,-0.006091078644727903,-0.000293914236861991,0.0037179854761842574,0.4691119691119691,-0.13790357170978912,0.048134771158362046,5.21945297756817e-06,0.000501852050394194,0.05956830683481048,0.0022643468314445794,0.010452849141497148,0.05954657354720696,0.029941571592644323,0.0014070640609133989,-0.1141380301269237,0.056458182632923126,0.00983167790398647
L06_VALID,0.6,True,hover,velocity_reference,20.724000000000004,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.0,0.0,nan,0.029941571592644323,0.0014070640609133989,-0.1141380301269237,0.056458182632923126,0.00983167790398647
L06_VALID,0.6,True,hover,velocity_state_feedback,20.724000000000004,0.019039017912840444,-0.025130096557568347,-0.006091078644727903,-0.000293914236861991,0.0037179854761842574,0.4691119691119691,-0.13790357170978912,0.048134771158362046,5.21945297756817e-06,0.000501852050394194,0.05956830683481048,0.0022643468314445794,0.010452849141497148,0.05954657354720696,0.029941571592644323,0.0014070640609133989,-0.1141380301269237,0.056458182632923126,0.00983167790398647
L06_VALID,0.6,True,hover,acceleration_damping,20.724000000000004,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.0,0.0,nan,0.029941571592644323,0.0014070640609133989,-0.1141380301269237,0.056458182632923126,0.00983167790398647
L06_VALID,0.6,True,hover,z3_disturbance,20.724000000000004,0.012016677804707224,-0.012199742525947377,-0.00018306472124015281,-8.833464641968384e-06,0.0021632380976324738,0.5111969111969112,-0.007559528565351935,0.025928652557434068,8.267297984525697e-06,0.0006316041922372693,0.1805437644603152,0.00036517622369307745,0.0041977295524757785,0.039314534187847895,0.029941571592644323,0.0014070640609133989,-0.1141380301269237,0.056458182632923126,0.00983167790398647
L06_VALID,0.6,True,hover,velocity_tracking_actual,20.724000000000004,0.013073653859559234,-0.07880583533179031,-0.06573218147223107,-0.0031717902659829694,0.009293861822034004,0.3544401544401544,-0.7154173586591921,0.0835891247718475,2.3839331564576305e-05,0.0010725319667747577,0.06389946603472833,0.004499802874386181,0.014735332924694037,0.05313763445670937,0.029941571592644323,0.0014070640609133989,-0.1141380301269237,0.056458182632923126,0.00983167790398647
