mode,attempt,window,direction,component,positive_integral,negative_integral,net_integral,mean_power,acceleration_band_055_075_energy,note
STD_L06_FULL_W05,1,east_cruise,east,nominal,0.004177550207095821,-0.010732448074180919,-0.006554897867085099,-0.0015307689333846214,,
STD_L06_FULL_W05,1,east_cruise,east,z3,0.003503836064664922,-0.005886523806053902,-0.0023826877413889802,-0.0005482604007465548,,
STD_L06_FULL_W05,1,east_cruise,east,as,0.0,-0.0257706344619555,-0.0257706344619555,-0.006077984035365992,,
STD_L06_FULL_W05,1,east_cruise,east,pas,0.0,-0.00045357399634664416,-0.00045357399634664416,-0.00011418238889968302,,
STD_L06_FULL_W05,1,east_cruise,east,final,0.002786486497932218,-0.038379599500171106,-0.03559311300223889,-0.00837722554989114,,
STD_L06_FULL_W05,1,east_decel,east,position,0.0018923855864996018,-0.0005333189987577259,0.0013590665877418757,0.0013243789563415385,,
STD_L06_FULL_W05,1,east_decel,east,tracking,0.010406747726257846,-0.003631690323585645,0.006775057402672201,0.0066302490805456825,,
STD_L06_FULL_W05,1,east_decel,east,observer_error,0.0017724468271953654,-0.0006647372622974181,0.0011077095648979473,0.001119217558349798,,
STD_L06_FULL_W05,1,east_decel,east,velocity_total,0.01022767566423859,-0.0023449084645253758,0.007882767199713212,0.007749466868734176,,
STD_L06_FULL_W05,1,east_decel,east,nominal,0.01190919274277981,-0.002667359053302768,0.009241833689477045,0.009073845720483824,,
STD_L06_FULL_W05,1,east_decel,east,z3,0.0011586256229784342,-0.0009955783275945563,0.0001630472953838779,0.00018026754023883277,,
STD_L06_FULL_W05,1,east_decel,east,as,0.0,-0.018719275356997907,-0.018719275356997907,-0.01866740132093597,,
STD_L06_FULL_W05,1,east_decel,east,pas,1.941734750289155e-06,-0.006656726313987747,-0.006654784579237458,-0.006601968828608589,,
STD_L06_FULL_W05,1,east_decel,east,final,0.034305843738839104,-0.016792845854535658,0.017512997884303445,0.01713700394057447,,
STD_L06_FULL_W05,1,south_move,south,position,0.007207371615788478,-0.008012705019947122,-0.0008053334041586437,-0.00013379747813125446,0.0,
STD_L06_FULL_W05,1,south_move,south,tracking,0.026268967435660623,-0.02595551082526788,0.0003134566103927426,3.433770283634423e-05,0.0,
STD_L06_FULL_W05,1,south_move,south,observer_error,0.010979628761555189,-0.002969772892660781,0.00800985586889441,0.0012953567875562415,0.0,
STD_L06_FULL_W05,1,south_move,south,velocity_total,0.0238539003444384,-0.015530588010300462,0.008323312334137932,0.0013296944660613653,0.0,
STD_L06_FULL_W05,1,south_move,south,nominal,0.025010627905212517,-0.017492649064639286,0.0075179788405732376,0.0011958969738289822,0.0,
STD_L06_FULL_W05,1,south_move,south,z3,0.010562772664052316,-0.009876930571939745,0.0006858420921125714,0.00011171680538433476,0.0,
STD_L06_FULL_W05,1,south_move,south,as,0.0,-0.058505206032092194,-0.058505206032092194,-0.009451546617861647,0.0,
STD_L06_FULL_W05,1,south_move,south,pas,1.0002177732529198e-06,-0.012177893705314954,-0.0121768934875417,-0.001964015078635766,0.0,
STD_L06_FULL_W05,1,south_move,south,final,0.07229836825684469,-0.07184049615146772,0.00045787210537697257,4.3044130916607704e-05,0.0,
STD_L06_FULL_W05,1,south_accel,south,position,0.0018514258465729923,-6.635736704356431e-05,0.0017850684795294282,0.0017905097650827884,,
STD_L06_FULL_W05,1,south_accel,south,tracking,0.0102421157405479,-0.003545042568322945,0.006697073172224957,0.00671355958879576,,
STD_L06_FULL_W05,1,south_accel,south,observer_error,0.0013306874422505592,-0.001008258088374072,0.0003224293538764872,0.0003231637493549897,,
STD_L06_FULL_W05,1,south_accel,south,velocity_total,0.009283646790892839,-0.0022641443765605614,0.0070195024143322755,0.007036723221594002,,
STD_L06_FULL_W05,1,south_accel,south,nominal,0.01090291383117442,-0.0020983430976047905,0.008804570733569626,0.008827232827898115,,
STD_L06_FULL_W05,1,south_accel,south,z3,0.003227067841457018,-0.00014203428552718482,0.003085033555929833,0.003091490299506404,,
STD_L06_FULL_W05,1,south_accel,south,as,0.0,-0.01367191595511393,-0.01367191595511393,-0.013677941708214349,,
STD_L06_FULL_W05,1,south_accel,south,pas,0.0,-0.005287931018508946,-0.005287931018508946,-0.005301059599965811,,
STD_L06_FULL_W05,1,south_accel,south,final,0.03641859514592198,-0.014679043291136588,0.0217395518547854,0.021775850577745587,,
STD_L06_FULL_W05,1,south_cruise,south,position,0.0040679629834140495,-0.007529826220319585,-0.003461863236905536,-0.0008213522229639888,,
STD_L06_FULL_W05,1,south_cruise,south,tracking,0.00430026575139526,-0.0183731372662878,-0.014072871514892539,-0.0033520379758569365,,
STD_L06_FULL_W05,1,south_cruise,south,observer_error,0.008138237737610089,-0.0007331448704972019,0.007405092867112887,0.0017648821589552014,,
STD_L06_FULL_W05,1,south_cruise,south,velocity_total,0.004071717846942178,-0.010739496770813272,-0.006667778923871094,-0.0015871558834546055,,
STD_L06_FULL_W05,1,south_cruise,south,nominal,0.002769204936295914,-0.012898846791365912,-0.010129641855069997,-0.0024085080335204284,,
STD_L06_FULL_W05,1,south_cruise,south,z3,0.005977351841669574,-0.0082225545393958,-0.0022452026977262257,-0.0005294584206629744,,
STD_L06_FULL_W05,1,south_cruise,south,as,0.0,-0.025618306532782284,-0.025618306532782284,-0.006102065990213478,,
STD_L06_FULL_W05,1,south_cruise,south,pas,0.0,-0.00014237493317157597,-0.00014237493317157597,-3.67436111052181e-05,,
STD_L06_FULL_W05,1,south_cruise,south,final,0.0028825684944313247,-0.041968751445638115,-0.03908618295120678,-0.00931617863459126,,
STD_L06_FULL_W05,1,south_decel,south,position,0.0012781818497060076,-0.00041652143258397254,0.0008616604171220354,0.0008387408331528273,,
STD_L06_FULL_W05,1,south_decel,south,tracking,0.011685997203457999,-0.004037330990657131,0.007648666212800868,0.007470129867590639,,
STD_L06_FULL_W05,1,south_decel,south,observer_error,0.0015107035816945425,-0.0012281613470549913,0.00028254223463955116,0.0003080201691693854,,
STD_L06_FULL_W05,1,south_decel,south,velocity_total,0.010458155552798318,-0.0025269468629266286,0.007931208689871686,0.007778150263408269,,
STD_L06_FULL_W05,1,south_decel,south,nominal,0.011288328046910368,-0.002495459175668587,0.008792868871241782,0.008616890865451997,,
STD_L06_FULL_W05,1,south_decel,south,z3,0.0013437980347080212,-0.0015123417470167605,-0.00016854371230873926,-0.00014442978951433722,,
STD_L06_FULL_W05,1,south_decel,south,as,0.0,-0.019205030621844307,-0.019205030621844307,-0.019151481524334355,,
STD_L06_FULL_W05,1,south_decel,south,pas,1.0002177732529196e-06,-0.00672251093870724,-0.006721510720933986,-0.006668165397752004,,
STD_L06_FULL_W05,1,south_decel,south,final,0.032919040232722234,-0.015192701414693022,0.01772633881802922,0.017327017771065815,,
STD_L06_FULL_W05,1,west_move,west,position,0.006570155330009625,-0.007060024299549746,-0.0004898689695401214,-8.279873020646553e-05,0.0,
STD_L06_FULL_W05,1,west_move,west,tracking,0.01833518096611808,-0.020156967041202702,-0.0018217860750846214,-0.0003098501833905644,0.0,
STD_L06_FULL_W05,1,west_move,west,observer_error,0.009021093591651132,-0.0032885840413744037,0.005732509550276729,0.0009272032672887206,0.0,
STD_L06_FULL_W05,1,west_move,west,velocity_total,0.016267207817516473,-0.01235648426814802,0.003910723549368451,0.0006173530978148553,0.0,
STD_L06_FULL_W05,1,west_move,west,nominal,0.01735712777195842,-0.013936273182567661,0.0034208545893907594,0.0005345543688409019,0.0,
STD_L06_FULL_W05,1,west_move,west,z3,0.008332127482193741,-0.009335654683391115,-0.0010035272011973716,-0.00016079610041977563,0.0,
STD_L06_FULL_W05,1,west_move,west,as,0.0,-0.04590886129084696,-0.04590886129084696,-0.0074150626258206705,0.0,
STD_L06_FULL_W05,1,west_move,west,pas,1.6927496180875291e-06,-0.01038097280130023,-0.010379280051682142,-0.0016740774276906684,0.0,
STD_L06_FULL_W05,1,west_move,west,final,0.05391825484301985,-0.05410532600252917,-0.00018707115950933328,-5.8743137788042074e-05,0.0,
STD_L06_FULL_W05,1,west_accel,west,position,0.0013457091067102787,-7.718918484170128e-05,0.0012685199218685774,0.0012862390187219717,,
STD_L06_FULL_W05,1,west_accel,west,tracking,0.0067069486931432085,-0.0009908986606169579,0.005716050032526251,0.005753667992074042,,
STD_L06_FULL_W05,1,west_accel,west,observer_error,0.0005451942145591534,-0.0013999583025267844,-0.0008547640879676308,-0.0008514242346116134,,
STD_L06_FULL_W05,1,west_accel,west,velocity_total,0.005357373506994912,-0.0004960877637204307,0.004861285743274482,0.00490224356946419,,
STD_L06_FULL_W05,1,west_accel,west,nominal,0.006561808682512492,-0.0004320030099843363,0.006129805672528157,0.006188482593650406,,
STD_L06_FULL_W05,1,west_accel,west,z3,0.001584729093257892,-9.032608063171184e-05,0.0014944030126261803,0.0015130478827686603,,
STD_L06_FULL_W05,1,west_accel,west,as,0.0,-0.00847982379299345,-0.00847982379299345,-0.008533438572485466,,
STD_L06_FULL_W05,1,west_accel,west,pas,0.0,-0.004023595536127626,-0.004023595536127626,-0.004064852507784962,,
STD_L06_FULL_W05,1,west_accel,west,final,0.022876231699221407,-0.006278645364800476,0.01659758633442093,0.01665962047173525,,
STD_L06_FULL_W05,1,west_cruise,west,position,0.004179864748533868,-0.006576694719791767,-0.0023968299712578984,-0.0005668611792706153,,
STD_L06_FULL_W05,1,west_cruise,west,tracking,0.0019673048212207047,-0.017718354286716934,-0.01575104946549623,-0.0037380552744079544,,
STD_L06_FULL_W05,1,west_cruise,west,observer_error,0.007921766842431677,-0.00041707689284157666,0.007504689949590099,0.0017869060521159207,,
STD_L06_FULL_W05,1,west_cruise,west,velocity_total,0.0023893801114099385,-0.01063573947248733,-0.00824635936107739,-0.0019511491840317572,,
STD_L06_FULL_W05,1,west_cruise,west,nominal,0.0014667346395816963,-0.012109924001451916,-0.010643189361870219,-0.0025180103700434605,,
